"query_id" "url_id" "query_length" "is_homepage" "sig1" "sig2" "sig3" "sig4" "sig5" "sig6" "sig7" "sig8" "V13"
"186" 27 165 2 1 0.07 0.1 460 39 162 1 0.43 0.33 0.0479256261098039
"187" 27 166 2 0 0.33 0.35 473 108 116 0 0.28 0.47 0.270303962765069
"188" 27 167 2 1 0.1 0.56 15905 9466 1494 0 0.48 0.6 0.182161298291913
"189" 27 168 2 0 0 0.25 376 849 130 4 0.53 0.37 0.199951035362231
"190" 27 169 2 1 0.24 0.39 9278 310 2392 10 0.52 0.48 0.390296361909285
"191" 27 170 2 0 0.04 0.58 3260 282 770 0 0.36 0.47 0.74247811591948
"192" 27 171 2 1 0.2 0.51 10609 303 2388 2 0.5 0.43 0.558416747275696
"193" 28 172 3 1 0.21 0.31 5062 337 1072 0 0.47 0.37 0.0979782997820618
"194" 28 173 3 0 0.21 0.5 518 339 140 0 0.39 0.46 0.810346743671919
"195" 28 174 3 0 0.12 0.42 1626 3 446 0 0.59 0.45 0.687875752117736
"196" 28 175 3 1 0.08 0.51 43520 37 6984 0 0.52 0.43 0.501593377759415
"197" 28 176 3 0 0.15 0.62 1733 1980 186 0 0.57 0.75 0.96601016841501
"198" 28 28 3 0 0.18 0.44 37093 13 6686 0 0.5 0.58 0.41367364066055
"199" 28 37 3 1 0.09 0.43 42149 61 6792 0 0.43 0.5 0.233074073773202
"200" 28 41 3 1 0.23 0.46 63947 840 9204 0 0.57 0.47 0.52139781336705
"201" 29 180 2 0 0.07 0.17 207 598 6 0 0.28 0.31 0.0439672601164475
"202" 29 181 2 0 0.15 0.29 135 390 10 0 0.11 0.39 0.0384238190058154
"203" 29 182 2 1 0 0.15 286 286 44 0 0.16 0.14 0.0531302552609544
"204" 29 183 2 1 0.07 0.22 631 288 46 0 0.16 0.03 0.0395771879205903
"205" 29 184 2 0 0.2 0.4 2032 2158 98 0 0.27 0.6 0.381817887011617
"206" 29 185 2 0 0 0.03 137 3 72 6 0.36 0.44 0.0367878895678294
"207" 29 186 2 0 0.07 0.35 1670 544 46 1 0.13 0.21 0.0595705768214471
"208" 29 187 2 0 0 0.31 3612 519 646 0 0.45 0.79 -0.00382348126679588
"209" 29 188 2 0 0.07 0.24 959 295 228 0 0.28 0.53 0.0378604778979034
"210" 30 184 2 0 0.1 0.31 2015 2161 94 1 0.15 0.57 0.106164381489352
"211" 30 187 2 0 0.19 0.53 3695 576 602 8 0.49 0.83 0.755632020869138
"212" 30 188 2 0 0.04 0.35 1023 267 226 0 0.32 0.62 0.108917392521175
"213" 30 189 2 1 0.02 0.08 1591 303 346 1 0.36 0.28 0.0421722485967103
"214" 30 190 2 1 0.08 0.17 3736 601 150 0 0.39 0.3 0.0408962437908972
"215" 30 191 2 0 0.04 0.44 273 753 6 0 0.32 0.52 0.363060657861719
"216" 30 192 2 0 0.19 0.42 372 1 72 0 0.14 0.41 0.16685562179032
"217" 30 193 2 0 0.12 0.43 336 37 78 0 0.29 0.34 0.36947074561053
"218" 30 194 2 0 0.01 0.22 5473 544 652 1 0.34 0.84 0.000120245382713768
"219" 31 202 2 0 0.18 0.28 0 1 0 0 0.15 0.79 0.0314586768564666
"220" 31 203 2 0 0.02 0.22 2 6 0 0 0.26 0.72 0.0445483312759604
"221" 31 204 2 0 0.03 0.23 1 7 0 0 0.31 0.7 0.0391365547513987
"222" 31 251 2 0 0 0.18 3 9 0 0 0.15 0.58 0.0490057169948842
"223" 31 252 2 0 0.14 0.19 1 3 0 0 0.28 0.61 0.0411006506354709
"224" 31 253 2 0 0.05 0.18 0 0 0 0 0.34 0.57 0.0356885511997608
"225" 31 254 2 0 0.04 0.21 4 1 0 0 0.34 0.73 0.0376533905157582
"226" 32 205 2 0 0.06 0.19 0 0 0 0 0.06 0.57 0.0476862091492684
"227" 32 206 2 0 0.02 0.09 25 72 0 0 0.18 0 0.0416261852363521
"228" 32 207 2 1 0.11 0.14 28 0 4 0 0.16 0.12 0.0493884138603103
"229" 32 208 2 0 0.04 0.2 2 0 0 0 0.23 0.46 0.0420639842141717
"230" 33 209 3 0 0.04 0.17 3 12 0 0 0.26 0.55 0.0475235847638575
"231" 33 210 3 0 0.14 0.09 57 175 4 0 0.15 0.46 0.0496377823232779
"232" 33 211 3 0 0.18 0.02 16 22 2 0 0.33 0.9 0.043040184572012
"233" 33 212 3 0 0.19 0.06 4 6 2 0 0.16 0.14 0.0459719037214415
"234" 33 213 3 0 0.2 0.12 6 1 0 0 0.35 0.62 0.0400890171800666
"235" 34 214 3 0 0.13 0.15 12 27 0 0 0 0.52 0.0425322753926529
"236" 34 215 3 0 0.12 0.02 1 9 0 0 0.14 0.13 0.0259198139827537
"237" 34 216 3 0 0.2 0.14 0 3 0 0 0.18 0.05 0.0442923865980243
"238" 34 217 3 0 0.04 0.1 0 3 0 0 0.21 0.07 0.0469069601968446
"239" 34 218 3 0 0 0.15 2 6 0 0 0.1 0.43 0.0463719228382487
"240" 34 219 3 0 0.1 0.3 3 4 0 0 0.15 0.3 0.0353912890980256
"241" 35 220 4 0 0.56 0.11 3 7 4 0 0.19 0.21 0.0335896097618354
"242" 35 221 4 1 0.57 0.46 12 12 10 0 0.2 0.05 0.926330809238851
"243" 36 222 2 0 0.05 0.15 6 7 4 0 0.23 0.55 0.0522070514185473
"244" 36 223 2 0 0.01 0.13 37 21 26 1 0.37 0 0.271722976689027
"245" 36 224 2 0 0.1 0.1 13 24 4 0 0.21 0.41 0.0549124479864627
"246" 36 225 2 0 0.02 0.26 40 60 12 0 0.24 0.6 0.0424787196561724
"247" 36 226 2 0 0.01 0.2 96 324 4 0 0.15 0.18 0.0473052985819124
"248" 36 227 2 0 0.11 0.14 27 10 4 0 0.31 0.28 0.0378520276457913
"249" 36 282 2 0 0.16 0.39 6 7 0 0 0.28 0.16 0.333854873063782
"250" 36 283 2 0 0.17 0.26 116 285 4 0 0.07 0.69 0.0449163071961527
"251" 36 284 2 0 0.11 0.33 159 118 22 2 0.32 0.75 0.106168025065949
"252" 37 228 2 0 0.08 0.26 8 3 0 0 0.23 0.65 0.040589212374566
"253" 37 229 2 0 0.1 0.08 1 0 0 0 0.09 0 0.0461742834665117
"254" 38 230 3 0 0.12 0.09 82 1 32 0 0.35 0.63 0.0495796162356877
"255" 38 231 3 0 0.17 0.17 582 43 104 0 0.43 0.55 0.025041644797478
"256" 38 232 3 0 0.14 0.32 242 16 58 0 0.19 0.71 0.0446918868597144
"257" 38 233 3 0 0.01 0.42 39 7 26 0 0.27 0.66 0.115218075640358
"258" 38 234 3 0 0.11 0.13 5 1 6 0 0.26 0.49 0.0488732506957931
"259" 38 235 3 0 0.01 0.31 529 315 132 0 0.32 0.55 0.0759060162497494
"260" 38 236 3 0 0.17 0.41 1043 139 186 0 0.43 0.81 0.342497891429366
"261" 39 237 3 1 0.07 0.1 27 0 22 2 0.24 0.18 0.0582271501132579
"262" 39 238 3 1 0.17 0.23 31 85 28 2 0.15 0.06 0.0637596302726485
"263" 39 239 3 1 0.48 0.18 9 0 4 1 0.2 0.1 0.146614595488853
"264" 39 240 3 0 0 0.27 198 40 24 0 0.37 0.83 0.00480186820397527
"265" 39 241 3 0 0.16 0.38 799 82 86 0 0.47 0.91 0.210009757389466
"266" 39 242 3 1 0.08 0.29 766 1 76 0 0.22 0.24 0.0293271970843105
"267" 40 243 3 0 0 0 119 334 6 0 0.3 0.39 0.0474275228882221
"268" 40 244 3 0 0.1 0.14 11735 550 312 10 0.19 0.26 0.0295057862471699
"269" 40 245 3 0 0.13 0 7 10 0 0 0.37 0.24 0.0737690628994785
"270" 40 246 3 0 0.15 0.32 198 375 18 0 0.27 0.31 0.131302699137413
"271" 40 247 3 0 0.14 0.17 17 0 18 0 0.26 0.38 0.0332208182964997
"272" 40 248 3 0 0.11 0.37 2271 289 38 0 0.23 0.46 0.124572663069116
"273" 40 249 3 0 0.44 0.44 4156 2619 378 0 0.44 0.38 0.787207682989091
"274" 40 250 3 1 0.31 0.63 8802 535 3636 1 0.54 0.46 0.990374688636052
"275" 41 255 2 0 0.07 0.33 27 73 6 0 0.09 0.39 0.0340569442698327
"276" 41 300 2 0 0.23 0.01 7 0 0 0 0.12 0.23 0.0243984115249941
"277" 41 301 2 0 0.24 0.2 90 274 0 0 0.19 0.01 0.0597587660713419
"278" 41 302 2 0 0.2 0.22 235 442 10 0 0.17 0.24 0.0387609532774722
"279" 41 303 2 0 0.1 0.15 55 165 0 0 0.14 0.06 0.0468230688246362
"280" 41 304 2 0 0.09 0.23 18 21 4 0 0.16 0.14 0.0376859162439298
"281" 41 305 2 0 0.28 0.07 2 6 0 0 0.08 0.16 0.0506351206237465
"282" 41 306 2 0 0.19 0.17 41 114 0 0 0.13 0.26 0.0481512423196789
"283" 41 307 2 0 0.2 0.28 11 27 0 0 0.37 0.9 0.0693954524305019
"284" 41 308 2 0 0.08 0.19 217 643 0 0 0.26 0.42 0.0437941805114496
"285" 42 256 2 0 0.41 0.12 73 219 4 0 0.21 0.09 0.0407643104685962
"286" 42 257 2 0 0.3 0.18 27 55 0 0 0.25 0.55 0.034768350589639
"287" 42 258 2 0 0.25 0.26 16 46 0 0 0.06 0.56 0.0312197292242956
"288" 42 259 2 0 0.3 0.5 32 99 0 0 0.22 0.88 0.437023536001118
"289" 43 260 1 0 0.38 0.21 16 24 0 0 0.25 0.8 0.0539095728553406
"290" 43 261 1 0 0.14 0.15 10 27 2 0 0.14 0.57 0.0525858218518105
"291" 44 262 3 1 0.3 0.39 14862 303 2278 0 0.46 0.56 0.369752024758268
"292" 44 263 3 0 0.22 0.36 22 34 20 0 0.51 0.62 0.477569075105571
"293" 44 264 3 1 0.49 0.63 731 1030 60 0 0.36 0.57 0.980577642459197
"294" 45 265 2 0 0.14 0.24 2219 699 318 0 0.46 0.53 0.0869888267956206
"295" 45 266 2 0 0.2 0.25 253 492 16 1 0.28 0.55 0.0768215219913539
"296" 45 267 2 0 0.15 0.24 14 39 0 0 0.25 0.6 0.042824520013928
"297" 45 268 2 0 0 0.31 35 79 0 0 0.31 0.72 0.0362159661983704
"298" 45 269 2 0 0.19 0.36 246 579 2 0 0.17 0.38 0.12468594925523
"299" 45 270 2 0 0.1 0.43 21 28 0 0 0.17 0.88 0.0216778392131329
"300" 45 271 2 0 0.16 0.34 232 6 64 0 0.2 0.71 0.0638735823025429
"301" 46 272 2 0 0.17 0.32 3017 1245 288 2 0.21 0.8 0.121180462663002
"302" 46 273 2 0 0.23 0.56 329 18 86 0 0.43 0.58 0.947911884698088
"303" 46 274 2 0 0.04 0.35 331 352 50 3 0.4 0.92 -0.00587301738384977
"304" 46 275 2 0 0.17 0.5 1138 1252 64 1 0.22 0.5 0.551114841649722
"305" 46 276 2 0 0.19 0.57 3837 76 528 4 0.33 0.84 0.589379276580722
"306" 46 277 2 1 0 0.43 4592 0 928 52 0.36 0.34 0.509860537083848
"307" 46 278 2 0 0.09 0.52 8921 594 1454 198 0.44 0.37 0.998780185716167
"308" 46 279 2 0 0.21 0.55 8635 988 928 100 0.39 0.85 1.03828484361425
"309" 47 1372 2 0 0.07 0.09 96 274 0 0 0.12 0.08 0.0443143867483505
